context_depth,operation,kv_type,vulkan_0_6_5_tokens_per_second,vulkan_0_6_5_cv,vulkan_0_6_5_launches,vulkan_0_6_7_tokens_per_second,vulkan_0_6_7_cv,vulkan_0_6_7_launches,vulkan_0_6_10_tokens_per_second,vulkan_0_6_10_cv,vulkan_0_6_10_launches,v0610_change_vs_v065_percent,v0610_change_vs_v067_percent
32768,decode,f16,17.208903499999998,0.02605125175156351,2,17.4347025,0.002359509788543291,2,17.398758,0.0,1,1.1032341485324837,-0.20616640863243552
32768,decode,q4_0,17.212505999999998,0.005064875216455408,2,17.324598,0.008859916831506784,2,16.617494,0.0,1,-3.456858635227178,-4.081503074414772
32768,prompt,f16,100.9401565,0.008883717438289774,2,101.725915,0.0026249152475290656,2,101.259445,0.0,1,0.3163146472831224,-0.45855571807832396
32768,prompt,q4_0,86.2431965,0.001528905958648721,2,99.951698,0.004190429658335775,2,99.552512,0.0,1,15.432307753110708,-0.3993789080001475
65536,decode,f16,16.365606999999997,0.005795511342028197,2,16.4175315,0.00039844265459494026,2,16.378257,0.0,1,0.07729624694032822,-0.2392229306823479
65536,decode,q4_0,16.586132,0.0007566400142299327,2,16.718166,0.008636784963033212,2,16.221854,0.0,1,-2.1962806035789373,-2.968698839334405
65536,prompt,f16,98.10095050000001,0.006944276325069487,2,98.58014349999999,0.0017456359434439466,2,98.65367,0.0,1,0.5634191077485973,0.07458550717165391
65536,prompt,q4_0,71.281341,0.0005148053193395529,2,96.025457,0.0010100993467692199,2,96.120295,0.0,1,34.84636182700322,0.09876339354468744
131072,decode,f16,14.810475499999999,0.0017687605588772347,2,14.782354999999999,0.0012735461259258509,2,14.859166,0.0,1,0.32875716920770515,0.5196127410010076
131072,decode,q4_0,15.542972500000001,0.0008099237147504012,2,15.656317000000001,0.0023797075838921295,2,15.115441,0.007098087718578494,2,-2.7506418093450336,-3.4546822218788797
131072,prompt,f16,89.659708,0.0016324550917717197,2,90.2094855,0.0013852897357707857,2,91.755615,0.0,1,2.3376241644686324,1.7139322893045428
131072,prompt,q4_0,57.05225,8.353570113751694e-06,2,88.5607735,0.003082043623811396,2,88.7365065,0.006141799649197896,2,55.535507363863836,0.19843209702770093
